     DATE        TIME   ,  Infosys,Wipro,TATA MOTORS,BAJAJ FINANCE,BANK OF INDIA,BIRLA,BOSCH,HDFC
2021-01-27 12:28:18.256854,1317.26,450.15,270.09,4863.71,50.07,719.38,385.21,15774.66,1450.85
2021-01-27 12:28:29.351905,1317.26,450.15,270.09,4863.71,50.07,719.38,385.19,15774.66,1450.85
2021-01-27 12:28:40.503279,1317.26,450.15,270.09,4863.71,50.07,719.38,385.27,15774.66,1450.85
2021-01-27 12:28:51.516753,1317.26,450.15,270.09,4863.71,50.07,719.38,385.27,15774.66,1450.85
2021-01-27 12:29:02.824152,1317.25,450.15,270.09,4863.71,50.07,719.38,385.27,15774.66,1450.85
2021-01-27 12:29:14.094248,1317.25,450.15,270.09,4863.71,50.07,719.38,385.27,15774.66,1450.85
2021-01-27 12:29:25.270017,1317.25,450.15,270.11,4863.71,50.07,719.38,385.27,15774.66,1450.85
2021-01-27 12:29:36.528384,1317.25,450.15,270.11,4863.71,50.07,719.38,385.27,15774.66,1450.78
2021-01-27 12:29:49.433025,1317.25,450.15,270.11,4863.71,50.07,719.38,385.24,15776.17,1450.78
2021-01-27 12:30:01.711257,1317.23,450.15,270.11,4863.71,50.07,719.37,385.27,15776.17,1450.78
2021-01-27 12:30:13.985350,1317.25,450.15,270.11,4863.71,50.07,719.37,385.24,15776.17,1450.78
2021-01-27 12:30:25.399578,1317.23,450.15,270.11,4863.71,50.07,719.37,385.24,15776.17,1450.78
2021-01-27 12:30:36.908410,1317.23,450.15,270.11,4863.74,50.07,719.37,385.27,15776.17,1450.78
2021-01-27 12:30:50.184736,1317.23,450.16,270.11,4863.74,50.07,719.37,385.29,15776.17,1450.78
2021-01-27 12:31:01.710968,1317.23,450.16,270.11,4863.74,50.07,719.37,385.29,15776.17,1450.78
2021-01-27 12:31:12.889819,1317.23,450.16,270.11,4863.74,50.07,719.37,385.29,15776.17,1450.78
2021-01-27 12:31:30.901669,1316.99,450.16,270.11,4863.74,50.07,719.38,385.29,15776.17,1450.62
2021-01-27 12:31:42.229954,1317.14,450.16,270.11,4863.74,50.07,719.37,385.29,15776.78,1450.62
2021-01-27 12:31:53.374289,1316.99,450.16,270.11,4863.74,50.07,719.37,385.29,15776.78,1450.62
2021-01-27 12:32:04.840113,1317.14,450.16,270.11,4863.74,50.07,719.37,385.29,15776.78,1450.62
2021-01-27 12:32:16.144547,1317.14,450.16,270.11,4863.74,50.07,719.37,385.29,15776.78,1450.62
2021-01-27 12:32:27.916128,1317.14,450.16,270.11,4863.74,50.07,719.37,385.29,15776.78,1450.62
2021-01-27 12:32:39.168200,1317.14,450.15,270.11,4863.76,50.07,719.37,385.45,15776.78,1450.62
2021-01-27 12:32:50.785061,1317.14,450.15,270.11,4863.76,50.07,719.37,385.45,15776.78,1450.62
2021-01-27 12:33:02.932968,1317.14,450.15,270.11,4863.76,50.07,719.37,385.45,15776.78,1450.62
2021-01-27 12:33:14.129135,1316.92,450.15,270.11,4863.76,50.07,719.37,385.45,15776.78,1450.62
2021-01-27 12:33:46.792506,1316.92,450.15,270.11,4863.76,50.07,719.36,385.45,15777.85,1450.47
2021-01-27 12:33:58.005102,1316.92,450.15,270.11,4863.76,50.07,719.37,385.6,15777.89,1450.47
2021-01-27 12:34:09.006533,1316.92,450.15,270.11,4863.76,50.07,719.37,385.45,15777.85,1450.46
2021-01-27 12:34:19.969081,1316.92,450.15,270.11,4863.76,50.07,719.37,385.45,15777.85,1450.46
2021-01-27 12:34:31.093111,1316.92,450.15,270.11,4863.76,50.07,719.37,385.6,15777.85,1450.46
2021-01-27 12:34:44.334617,1316.9,450.15,270.11,4863.76,50.07,719.37,385.6,15777.85,1450.46
2021-01-27 12:34:55.261908,1316.9,450.15,270.11,4863.76,50.07,719.37,385.6,15777.85,1450.46
2021-01-27 12:35:06.330741,1316.9,450.15,270.11,4863.76,50.07,719.37,385.6,15777.89,1450.46
2021-01-27 12:35:17.268090,1316.87,450.15,270.12,4863.76,50.07,719.37,385.6,15777.85,1450.42
